date,stipe,bulb,blade,ho_fa,single,group,subst,sub2,cosp1,cosp2,cosp3,notes
4/8/2018,19.5,nd,nd,nd,1,0,Ls,none,none,none,none,
4/8/2018,2.5,nd,nd,nd,0,1,Ls,none,none,none,none,Cluster 2.5-10.5
4/8/2018,8,nd,nd,nd,0,1,Ls,none,none,none,none,
4/8/2018,8.5,nd,nd,nd,0,1,Ls,none,none,none,none,
4/8/2018,10.5,nd,nd,nd,0,1,Ls,none,none,none,none,
4/8/2018,5,nd,nd,nd,0,1,Ba,none,none,none,none,Cluster 5-17
4/8/2018,4,nd,nd,nd,0,1,Ba,none,none,none,none,
4/8/2018,11,nd,nd,nd,0,1,Ba,none,none,none,none,
4/8/2018,11,nd,nd,nd,0,1,Ba,none,none,none,none,
4/8/2018,17,nd,nd,nd,0,1,Ba,none,none,none,none,
4/8/2018,7,nd,nd,nd,1,0,U,none,none,none,none,
4/8/2018,3.5,nd,nd,nd,0,1,U,none,none,none,none,Cluster 3.5-13.5
4/8/2018,6,nd,nd,nd,0,1,U,none,none,none,none,
4/8/2018,6.5,nd,nd,nd,0,1,U,none,none,none,none,
4/8/2018,9.5,nd,nd,nd,0,1,U,none,none,none,none,
4/8/2018,13.5,nd,nd,nd,0,1,U,none,none,none,none,
4/8/2018,111,nd,nd,nd,1,0,U,none,none,none,none,
4/8/2018,3.5,nd,nd,nd,0,1,U,none,none,none,none,Cluster 3.5-11.5
4/8/2018,7.5,nd,nd,nd,0,1,U,none,none,none,none,
4/8/2018,11.5,nd,nd,nd,0,1,U,none,none,none,none,
4/8/2018,20,nd,nd,nd,1,0,U,none,none,none,none,
4/8/2018,3.5,nd,nd,nd,0,1,Ls,none,none,none,none,Cluster 3.5-4.5
4/8/2018,4,nd,nd,nd,0,1,Ls,none,none,none,none,
4/8/2018,4.5,nd,nd,nd,0,1,Ls,none,none,none,none,
4/8/2018,4.5,nd,nd,nd,0,1,Ls,none,none,none,none,
4/8/2018,4.5,nd,nd,nd,0,1,Ls,none,none,none,none,
4/8/2018,8,nd,nd,nd,1,0,U,none,none,none,none,
4/8/2018,17,nd,nd,nd,0,1,U,none,none,none,none,Cluster 17-41
4/8/2018,41,nd,nd,nd,0,1,U,none,none,none,none,
